temperature_C,pressure_bar,flow_m_s,pH,CO2_ppm,H2S_ppm,DO_mgL,water_cut,inhibitor_eff,CP_voltage,P_corrosion,Corrosion
64.97,27.88,0.661,6.385,17.18,3.18,0,0.176,0.646,-0.813,0.2407,1
58.62,27.73,0.847,6.474,1275.67,6.339,1.791,0.191,0.338,-0.606,0.9275,1
66.48,21.02,0.701,6.551,482.86,1.203,0.328,0.403,0.251,-1.021,0.8143,1
75.23,28.35,1.055,7.257,609.33,7.791,0.386,0.073,0.086,-0.813,0.8892,1
57.66,33.66,1.599,5.902,355.54,2.806,0.464,0.207,0.491,-0.818,0.5547,0
57.66,23.63,0.614,5.823,61.76,0.681,0.731,0.272,0.772,-0.972,0.3404,1
75.79,35.24,1.5,7.489,9.46,0.635,0.5,0.008,0.079,-0.593,0.7199,1
67.67,32.44,0.609,6.13,599.98,0.901,0.42,0.175,0.134,-0.801,0.8645,1
55.31,26.33,0.576,5.49,151.42,11.062,1.285,0.408,0.242,-0.901,0.6922,1
65.43,29.29,1.409,6.112,91.9,23.518,0.839,0.113,0.213,-0.573,0.7377,1
55.37,37.99,1.461,6.236,247.44,2.208,0,0.204,0.265,-0.676,0.634,0
55.34,33.67,1.426,7.744,163.88,1.728,0.944,0.027,0.324,-0.936,0.2887,0
62.42,30.04,0.342,7.24,316.38,1.234,0.814,0.053,0.634,-1.149,0.425,1
40.87,28.81,0.767,7.418,198.37,8.681,0.173,0.139,0.079,-0.955,0.5854,0
42.75,30.38,1.411,7.156,358.44,1.174,0.975,0.314,0.552,-0.779,0.3954,0
54.38,27.44,1.021,7.257,576.06,12.891,0.405,0.089,0.149,-0.903,0.8272,0
49.87,19.48,0.463,5.95,65.28,5.503,0.367,0.122,0.502,-1.037,0.3199,0
63.14,40.21,1.229,6.341,119.89,11.371,0.351,0.371,0.217,-0.85,0.5921,0
50.92,30.78,0.643,5.708,172.24,4.037,0,0.12,0.324,-1.144,0.3858,0
45.88,31.99,1.897,6.332,981.51,5.867,0.184,0.015,0.192,-0.69,0.9367,1
74.66,29.71,1.772,7.047,136.4,4.831,0.928,0.012,0.093,-0.382,0.7862,0
57.74,26.32,1.302,6.608,143.94,8.895,0.487,0.053,0.289,-0.681,0.5834,1
60.68,29.07,1.681,7.549,317.94,9.035,0,0.038,0.27,-0.542,0.8344,1
45.75,22,1.032,5.587,163,4.455,1.079,0.242,0.362,-0.933,0.375,0
54.56,41.39,1.383,6.9,906.15,5.005,0.321,0.089,0.361,-0.873,0.7957,0
61.11,23.83,1.739,5.501,674.62,12.747,0,0.393,0.407,-1.04,0.7852,1
48.49,24.84,1.123,6.575,216.1,13.287,1.824,0.136,0.572,-0.683,0.3097,1
63.76,27.8,0.872,7.092,310.5,5.457,0,0.15,0.249,-0.594,0.8398,0
53.99,36.44,0.148,6.328,17.93,0.039,1.028,0.027,0.116,-0.927,0.6533,1
57.08,30.07,0.958,6.941,356.95,0.551,0.038,0.115,0.409,-0.76,0.4286,1
53.98,23.82,1.412,5.732,368.48,9.758,0.581,0.111,0.396,-1.099,0.5585,1
78.52,36.27,1.473,5.169,133.51,0.443,0,0.335,0.482,-0.835,0.4927,1
59.87,33.66,1.252,6.946,74.42,1.201,0,0.448,0.285,-0.971,0.5301,1
49.42,32.69,0.729,7.895,739.81,1.31,0.813,0.088,0.207,-0.775,0.8721,1
68.23,33.58,0.012,5.703,166.91,4.584,0.743,0.161,0.368,-0.682,0.6604,0
47.79,41.97,0.752,7.478,318.14,4.298,1.187,0.156,0.129,-0.991,0.658,0
62.09,40.93,0.848,6.535,10.17,1.708,0.479,0.639,0.108,-1.071,0.4931,0
40.4,26.57,0.844,5.431,160.37,1.164,1.832,0.126,0.271,-0.819,0.664,1
46.72,38.12,1.309,5.595,509.91,7.231,0.661,0.46,0.573,-0.814,0.641,1
61.97,31.92,1.993,6.513,147.1,13.702,0.84,0.028,0.415,-0.825,0.3166,1
67.38,32.5,1.062,6.176,277.27,0.271,0,0.157,0.444,-1.054,0.4206,1
61.71,21.54,0.892,5.45,70.66,0.715,0.132,0.169,0.089,-1.051,0.6562,1
58.84,29.15,0.87,5.145,161.63,5.138,0.812,0.182,0.354,-0.753,0.4284,0
56.99,25.94,1.062,5.823,787.82,8.159,0.449,0.189,0.231,-1.164,0.9401,1
45.21,34.14,0.586,6.655,250.73,7.832,0.613,0.368,0.223,-1.046,0.623,0
52.8,35.36,1.06,6.495,696.63,6.359,0.01,0.1,0.154,-0.459,0.9306,1
55.39,19.63,1.225,6.099,696.9,10.921,0.573,0.1,0.406,-0.913,0.6789,1
70.57,29.89,1.105,6.662,865.51,1.225,0.571,0.137,0.538,-1.093,0.8188,1
63.44,35.61,1.229,7.332,677.26,0.567,0,0.327,0.464,-1.061,0.6901,1
42.37,29.07,1.217,6.815,0.99,4.777,0.886,0.184,0.08,-0.561,0.5994,0
63.24,33.65,0.114,6.403,815.5,8.638,0,0.34,0.31,-0.945,0.8871,1
56.15,31.76,1.318,7.242,44.36,4.362,0.611,0.098,0.486,-0.841,0.2238,0
53.23,31.71,0.664,5.732,12.22,16.484,1.559,0.276,0.011,-0.898,0.5869,1
66.12,28.64,0.452,6.32,17.09,7.938,0.908,0.282,0.047,-1.101,0.5309,0
70.31,23.92,0.448,6.339,128.74,6.033,0.905,0.211,0.028,-1.114,0.6324,0
69.31,24.39,1.217,5.51,290.91,0.311,0,0.186,0.105,-0.719,0.8114,1
51.61,33.55,0.889,6.164,154.41,0.57,1.561,0.327,0.203,-1.046,0.5487,0
56.91,30.1,0.159,4.84,7.77,7.682,1.326,0.115,0.094,-0.357,0.8712,1
63.31,29.31,1.239,8.03,194.16,1.105,0,0.266,0.179,-1.105,0.6338,1
69.76,27.88,0.28,5.75,175.09,0.146,0.215,0.3,0.193,-1.042,0.8722,1
55.21,28.47,1.07,7.769,424.22,12.082,1.253,0.187,0.302,-0.71,0.4817,1
58.14,35.23,1.119,6.53,98.39,11.073,1.578,0.333,0.298,-0.775,0.5518,0
48.94,28.32,1.443,6.952,73.59,1.233,0,0.174,0.185,-0.543,0.6504,1
48.04,23.29,1.891,6.109,88.69,7.575,0,0.144,0.193,-0.71,0.504,1
68.13,33.72,0.318,6.666,108.61,0.246,0.414,0.147,0.583,-0.573,0.4721,1
73.56,28.98,0.974,7.02,274.26,1.678,0,0.125,0.175,-0.48,0.8448,1
59.28,30.16,0.862,7.032,191.33,4.886,0.511,0.25,0.385,-0.863,0.3229,1
70.04,38.04,1.217,7.12,123.25,7.202,1.211,0.51,0.605,-1.182,0.3364,0
63.62,29.9,1.108,6.205,140.67,0.052,0,0.36,0.427,-0.509,0.4736,0
53.55,31.45,0.824,6.116,139.05,1.974,0.576,0.257,0.216,-0.613,0.5469,0
63.61,24.11,0.78,5.225,1077.05,1.206,0.151,0.34,0.246,-0.696,0.976,1
75.38,28.9,0.442,6.919,79.58,33.546,1.484,0.311,0.299,-0.507,0.7679,1
59.64,33.05,1.494,7.366,511.23,5.558,0.158,0.167,0.073,-0.816,0.814,1
75.65,22.22,1.23,7.793,369.52,2.602,1.411,0.236,0.21,-0.92,0.7894,0
33.8,31,1.459,6.744,1.68,0.393,0.142,0.28,0.272,-0.582,0.5999,1
68.22,30.5,0.845,5.887,1496.2,4.565,0.963,0.124,0.251,-0.747,0.9937,1
60.87,30.21,0.672,5.142,423.72,5.132,0.651,0.105,0.329,-0.845,0.6315,0
57.01,35.19,0.461,7.333,344.14,8.475,0.417,0.28,0.281,-0.496,0.8352,1
60.92,31.67,1.179,5.063,155.92,1.702,0.026,0.165,0.177,-0.533,0.8301,0
40.12,37.39,0.48,6.228,243.04,19.931,0.694,0.151,0.396,-0.913,0.3272,0
57.8,25.03,1.924,6.321,87.62,2.894,0.236,0.098,0.328,-1.092,0.2533,0
63.57,30.68,0.346,6.444,10.84,1.754,0.086,0.031,0.178,-0.994,0.501,1
74.78,30.42,1.137,6.529,542.41,2.142,1.384,0.036,0.511,-0.918,0.6509,0
54.82,24.65,1.783,6.611,680.41,3.666,0.829,0.187,0.411,-0.898,0.6542,1
51.92,34.78,1.3,4.568,53.19,13.799,0.886,0.161,0.246,-0.746,0.6101,1
54.98,41.62,1.088,6.512,464.02,6.643,0.265,0.037,0.123,-0.19,0.8745,1
69.15,29.91,0.516,4.716,405.46,4.303,0.388,0.2,0.61,-0.597,0.7857,1
63.29,32.53,0.309,7.086,58.94,0.889,0.351,0.259,0.443,-0.556,0.4116,0
54.7,30.42,1.385,6.056,164.37,0.809,0.702,0.212,0.253,-0.806,0.5713,1
65.13,26.43,1.753,4.774,164.85,3.488,0.885,0.157,0.151,-0.754,0.7305,1
60.97,20.9,0.781,5.849,428.09,6.523,0.482,0.197,0.436,-0.697,0.635,0
69.69,26.47,0.43,6.044,545.42,6.952,0.024,0.368,0.161,-0.558,0.9227,1
52.98,23.04,0.229,7.453,29.87,1.28,0.956,0.243,0.269,-0.605,0.6568,1
56.72,38.52,0.51,6.657,248.33,0.527,0.52,0.169,0.291,-0.659,0.6409,1
56.08,29.42,0.943,6.776,430.33,2.426,0,0.149,0.315,-0.928,0.4782,1
45.36,28.27,1.8,7.445,462.8,12.516,0,0.263,0.371,-1.141,0.4846,1
62.96,34.45,1.337,6.423,48.05,3.941,0.679,0.344,0.143,-0.561,0.6907,1
62.61,24.39,1.153,7.103,223.65,1.929,0.002,0.146,0.112,-0.654,0.6509,1
60.05,26.17,0.8,7.047,584.65,1.955,0.759,0.569,0.294,-0.926,0.8396,1
57.65,30.34,0.708,5.471,115.05,0.708,0.035,0.061,0.271,-0.352,0.8019,1
45.85,35.14,1.703,7.678,166.08,3.205,0.58,0.095,0.401,-0.969,0.2686,0
55.79,32.51,1.1,5.364,489.44,7.836,0.273,0.2,0.447,-0.807,0.6534,1
56.57,31.24,0.051,7.234,28.07,17.298,1.551,0.072,0.279,-0.849,0.6826,0
51.98,30.39,0.663,5.286,588.75,3.482,1.07,0.576,0.383,-0.936,0.6912,1
58.39,32,0.571,6.981,111.82,0.915,1.308,0.086,0.243,-0.903,0.5506,1
64.04,31.01,0.727,7.99,0.44,5.743,0.514,0.392,0.098,-0.924,0.508,1
78.86,24.85,1.281,6.33,80.03,7.069,0.993,0.073,0.23,-0.945,0.6381,1
61.75,30.23,0.946,6.295,28.13,0.372,0.555,0.265,0.393,-0.689,0.2349,1
62.58,24.63,0.962,6.988,29.08,9.49,1.382,0.202,0.033,-0.629,0.5222,0
59.26,30.41,1.657,6.236,354.11,8.84,0.456,0.193,0.044,-0.927,0.7306,1
40.81,27.6,0.652,7.955,72.23,3.198,0,0.088,0.478,-0.9,0.217,0
59.73,42.7,1.932,6.654,818.82,4.11,0,0.052,0.153,-0.724,0.913,1
60.6,29.8,0.664,6.244,217.98,6.248,1.501,0.472,0.396,-0.752,0.358,0
84.63,22.98,1.045,6.068,184.91,5.647,0.787,0.367,0.367,-0.774,0.4495,0
58.08,29.33,0.859,5.754,170.9,0.083,0.827,0.017,0.412,-0.76,0.4193,0
63.02,32.6,1.062,5.998,353.87,0.653,1.394,0.08,0.144,-0.678,0.8208,1
59.65,38.37,1.222,6.219,180.59,0.887,0,0.02,0.173,-0.579,0.7567,1
48.31,27.05,1.217,6.11,41.3,7.046,0.285,0.147,0.692,-0.91,0.2098,0
71.43,22.09,0.623,5.973,636.51,2.9,0.358,0.267,0.231,-0.732,0.9268,1
67.52,34.08,0.439,8.179,167.79,3.943,0.945,0.158,0.507,-0.897,0.3438,1
67.91,23.1,2.252,5.676,23.07,7.407,0.084,0.217,0.307,-1.197,0.3722,0
50.91,27.82,0.758,6.617,226.1,2.085,0,0.142,0.276,-0.979,0.5978,0
74.03,28.71,1.35,6.974,312.68,6.909,0,0.229,0.228,-0.442,0.8663,1
45.98,29.65,0.196,7.004,96.72,2.92,1.19,0.325,0.237,-0.595,0.8161,1
65.87,33.45,0.86,6.453,483.34,2.367,0.054,0.06,0.585,-1.202,0.5665,1
81.9,26.58,0.936,6.307,332.4,2.025,0.169,0.076,0.22,-0.938,0.7917,0
50.09,28.63,1.236,6.861,315.24,16.754,0.881,0.341,0.22,-0.834,0.6677,1
54.34,29.93,0.361,6.713,163.85,7.391,0.081,0.095,0.214,-0.793,0.5813,0
61,30.75,1.083,6.293,980.38,0.102,0,0.168,0.205,-0.912,0.9459,1
54.97,30.49,0.425,5.25,96.14,15.781,0,0.107,0.292,-0.643,0.6542,1
44.49,32.18,1.162,6.126,258.62,7.468,0.466,0.063,0.304,-0.495,0.5065,0
60.69,34.22,0.482,5.583,110.91,0.808,0.798,0.121,0.301,-0.574,0.5613,0
49.38,31.96,0.572,5.966,409.72,0.397,0.379,0.297,0.447,-0.909,0.557,0
64.74,32.27,0.863,6.527,14.69,1.842,0.758,0.195,0.137,-1.074,0.5097,0
50.81,22.09,0.474,6.787,14.09,4.893,0,0.104,0.092,-0.679,0.4399,0
75.5,30.25,0.762,7.924,499.58,4.793,0,0.109,0.38,-1.098,0.6245,1
52.17,32.4,0.403,6.07,170.89,1.614,1.852,0.433,0.178,-0.653,0.5637,0
56.78,33.64,0.083,7.12,125.19,2.95,1.24,0.176,0.16,-0.515,0.847,1
68.14,26.54,1.509,6.745,280.59,1.191,0.961,0.348,0.055,-0.697,0.7119,1
47.69,26.7,0.352,7.537,363.1,0.26,0.104,0.007,0.215,-1.016,0.6877,1
62.27,27.13,0.911,6.961,67.39,3.638,0.357,0.097,0.258,-0.996,0.5369,0
73.07,32.68,1.376,5.693,61.53,2.131,0.499,0.134,0.529,-0.787,0.4124,0
43.93,35.17,0.693,5.122,952.1,3.914,1.289,0.234,0.166,-0.445,0.9772,1
61.85,27.96,0.587,6.749,267.23,14.641,0.742,0.37,0.395,-0.772,0.3986,1
62.6,34.54,1.113,6.077,148.35,0.774,0.816,0.011,0.127,-1.024,0.598,1
67.82,30.62,1.559,5.716,485,0.01,0.399,0.091,0.076,-0.822,0.882,0
47.63,29.38,0.415,5.486,223.43,0.4,0.976,0.362,0.273,-0.378,0.8278,0
46.8,28.94,0.925,6.629,82.99,3.106,0.681,0.127,0.081,-1.095,0.4872,1
65.22,33.73,0.134,7.706,69.48,6.137,0.526,0.077,0.422,-0.529,0.6371,1
62.97,31.63,0.803,6.173,151.68,4.347,0.054,0.428,0.501,-0.867,0.3131,0
62.5,41.38,1.017,6.972,589.61,3.415,0.432,0.135,0.349,-0.703,0.6269,1
63.46,25.74,0.573,6.418,19.03,2.184,0,0.276,0.387,-0.614,0.2362,0
53.2,32.59,0.772,5.468,73.97,1.855,0.476,0.438,0.279,-0.949,0.6191,1
62.32,27.35,0.296,7.088,670.9,2.36,0.553,0.095,0.247,-0.565,0.9695,1
62.93,25.65,1.039,5.624,38.94,4.729,0,0.111,0.152,-0.701,0.64,1
52.86,29.95,1.528,6.517,297.97,0.918,0.362,0.286,0.424,-0.524,0.5377,0
78.66,30.69,0.451,6.227,72.05,7.378,0,0.277,0.351,-0.719,0.3406,1
64.74,44.59,0.689,7.214,279.32,4.281,0.799,0.38,0.634,-0.416,0.5824,1
48.09,29.08,1.251,5.653,144.92,1.568,0.882,0.317,0.449,-1.129,0.3623,0
66.57,24.35,1.606,6.813,32.17,3.477,0.244,0.246,0.066,-0.66,0.5319,1
50.25,31.37,0.253,5.828,262.02,16.454,0.829,0.212,0.425,-0.743,0.655,1
67.87,19.63,0.916,6.091,344.7,0.104,0.855,0.249,0.43,-1.013,0.4729,0
71.59,29.54,1.142,3.592,342.09,1.113,0.362,0.352,0.057,-0.539,0.9136,1
51.79,30.08,0.949,8.174,304.03,2.974,1.421,0.188,0.203,-1.02,0.6566,1
69.63,33.97,0.238,6.94,208.08,5.087,0.065,0.235,0.244,-0.657,0.8273,1
64.13,34.87,1.251,5.886,219.86,1.193,1.383,0.025,0.187,-0.878,0.7581,1
68.22,27.48,1.76,5.6,302.88,13.398,0.365,0.202,0.591,-0.343,0.7356,1
78.97,29.25,1.058,6.103,351.61,5.144,0,0.288,0.402,-0.673,0.5459,1
57.55,26.17,0.484,7.074,319.16,10.495,0.289,0.459,0.462,-0.668,0.4154,0
52.46,24.36,0.743,4.986,265.25,1.997,0,0.271,0.108,-0.468,0.8513,0
51.1,31.55,1.885,6.387,50.82,8.829,0.971,0.282,0.148,-0.794,0.4812,0
51.84,23.63,1.455,7.917,70.95,2.376,0,0.293,0.625,-0.694,0.2226,1
59.23,27.93,1.32,5.593,90.42,1.457,1.334,0.217,0.436,-1.06,0.3672,0
63.41,25.02,1.178,6.564,756.45,12.133,0,0.274,0.157,-0.789,0.9078,1
62.77,32.75,0.669,8.263,427.38,0.484,1.002,0.276,0.156,-0.781,0.7751,0
68.27,39.01,0.9,7.006,241.47,14.314,0.515,0.358,0.207,-1.176,0.6984,0
60.13,23.49,0.961,6.601,87.13,3.067,0.662,0.379,0.285,-0.706,0.5409,1
74.54,20.73,1.275,6.905,35.26,24.549,0.146,0.238,0.521,-0.522,0.4617,0
